Player,Tm,FantPos,G,PPR,storage
A.J. Brown,TEN,WR,16,217.1,217.1
A.J. McCarron,HOU,QB,2,16.9,16.9
Aaron Jones,GNB,RB,16,314.8,314.8
Aaron Rodgers*,GNB,QB,16,278.4,278.4
Adam Humphries,TEN,WR,12,86.5,86.5
Adam Shaheen,CHI,RB,8,16.4,16.4
Adam Thielen,MIN,WR,10,114.4,114.4
Adrian Peterson,WAS,RB,15,147.0,147.0
Albert Wilson,MIA,WR,13,89.4,89.4
Alec Ingold,OAK,RB,16,18.1,18.1
Alex Armah,CAR,RB,16,9.7,9.7
Alex Ellis,PHI,N/A,3,0.0,0.0
Alex Erickson,CIN,WR,16,96.2,96.2
Alex Tanney,NYG,QB,1,0.0,0.0
Alexander Hollins,MIN,WR,5,6.6,6.6
Alexander Mattison,MIN,RB,13,68.4,68.4
Alfred Morris,ARI,RB,1,0.4,0.4
Allen Hurns,MIA,WR,14,83.6,83.6
Allen Lazard ,GNB,WR,16,102.8,102.8
Allen Robinson,CHI,WR,16,254.9,254.9
Alshon Jeffery,PHI,WR,10,122.2,122.2
Alvin Kamara*,NOR,RB,14,248.5,248.5
Amari Cooper*,DAL,WR,16,246.5,246.5
Ameer Abdullah,MIN,RB,16,39.3,39.3
Andre Patton,LAC,WR,13,11.6,11.6
Andre Roberts*,BUF,WR,13,5.7,5.7
Andrew Beck,DEN,TE,16,24.5,24.5
Andy Dalton,CIN,QB,13,203.7,203.7
Andy Isabella,ARI,WR,15,35.4,35.4
Andy Janovich,DEN,RB,7,15.3,15.3
Anthony Firkser,TEN,TE,15,40.4,40.4
Anthony Miller,CHI,WR,16,127.5,127.5
Anthony Sherman,KAN,RB,16,5.1,5.1
Antonio Brown,NWE,WR,1,16.1,16.1
Antonio Callaway,CLE,WR,4,16.9,16.9
Antony Auclair,TAM,TE,8,2.1,2.1
Ashton Dulin,IND,WR,13,3.7,3.7
Auden Tate,CIN,WR,12,101.5,101.5
Austin Carr,NOR,WR,6,1.9,1.9
Austin Ekeler,LAC,RB,16,309.0,309.0
Austin Hooper*,ATL,TE,13,191.7,191.7
Austin Walter,NYG,N/A,1,0.0,0.0
Baker Mayfield,CLE,QB,16,229.2,229.2
Ben Braunecker,CHI,TE,11,17.9,17.9
Ben Koyack,JAX,TE,11,1.9,1.9
Ben Roethlisberger,PIT,QB,2,12.7,12.7
Ben Watson,NWE,TE,10,34.3,34.3
Bennie Fowler,NYG,WR,8,46.3,46.3
Benny Snell Jr.,PIT,RB,13,57.9,57.9
Bilal Powell,NYJ,RB,13,33.2,33.2
Blake Bell,KAN,TE,15,14.7,14.7
Blake Bortles,LAR,QB,3,-0.8,-0.8
Blake Jarwin,DAL,TE,16,85.5,85.5
Bo Scarbrough,DET,RB,6,43.2,43.2
Bobo Wilson,TAM,WR,6,4.5,4.5
Boston Scott,PHI,RB,11,96.9,96.9
Brandin Cooks,LAR,WR,14,117.5,117.5
Brandon Allen,DEN,QB,3,32.5,32.5
Brandon Bolden,NWE,RB,15,50.9,50.9
Brandon Dillon,MIN,N/A,1,0.0,0.0
Brandon Zylstra,CAR,WR,8,18.6,18.6
Braxton Berrios,NYJ,WR,16,15.5,15.5
Breshad Perriman,TAM,WR,14,138.1,138.1
Brett Hundley,ARI,QB,3,6.1,6.1
Brian Hill,ATL,RB,12,67.2,67.2
Brian Hoyer,IND,QB,4,21.1,21.1
Buddy Howell,HOU,RB,16,1.0,1.0
Byron Pringle,KAN,WR,16,35.0,35.0
C.J. Anderson,DET,RB,2,4.3,4.3
C.J. Board,JAX,WR,4,5.1,5.1
C.J. Ham*,MIN,RB,16,37.6,37.6
C.J. Prosise,SEA,RB,9,28.8,28.8
C.J. Uzomah,CIN,TE,16,63.2,63.2
Calvin Ridley,ATL,WR,13,197.0,197.0
Cam Newton,CAR,QB,2,16.7,16.7
Cam Sims,WAS,WR,7,4.7,4.7
Cameron Brate,TAM,TE,16,91.1,91.1
Carlos Hyde,HOU,RB,16,153.2,153.2
Carson Meier,ATL,N/A,1,0.0,0.0
Carson Wentz,PHI,QB,16,275.9,275.9
Case Keenum,WAS,QB,10,103.5,103.5
Cedrick Wilson Jr.,DAL,WR,6,9.6,9.6
Cethan Carter,CIN,TE,15,9.3,9.3
Chad Beebe,MIN,WR,3,9.0,9.0
Chad Williams,IND,N/A,1,0.0,0.0
Chandler Cox,MIA,N/A,13,0.0,0.0
Charles Clay,ARI,TE,15,47.7,47.7
Charles Jones,JAX,TE,4,1.5,1.5
Chase Daniel,CHI,QB,3,26.0,26.0
Chase Edmonds,ARI,RB,13,82.8,82.8
Chester Rogers,IND,WR,12,45.7,45.7
Chris Carson,SEA,RB,15,232.6,232.6
Chris Conley,JAX,WR,16,156.5,156.5
Chris Godwin*,TAM,WR,14,276.1,276.1
Chris Herndon,NYJ,TE,1,1.7,1.7
Chris Hogan,CAR,WR,7,14.7,14.7
Chris Lacy,DET,WR,7,9.0,9.0
Chris Manhertz,CAR,TE,15,2.1,2.1
Chris Moore,BAL,WR,14,5.1,5.1
Chris Thompson,WAS,RB,11,93.6,93.6
Christian Blake,ATL,WR,9,20.1,20.1
Christian Kirk,ARI,WR,13,168.2,168.2
Christian McCaffrey*+,CAR,RB,16,471.2,471.2
Clark Harris,CIN,N/A,16,0.0,0.0
Clive Walford,MIA,TE,7,10.1,10.1
Codey McElroy,TAM,WR,1,4.0,4.0
Cody Core,NYG,WR,16,5.8,5.8
Cody Hollister,TEN,WR,5,3.3,3.3
Cody Latimer,NYG,WR,15,66.0,66.0
Cole Beasley,BUF,WR,15,184.8,184.8
Colt McCoy,WAS,QB,1,4.3,4.3
Cooper Kupp,LAR,WR,16,270.5,270.5
Cooper Rush,DAL,N/A,2,0.0,0.0
Cordarrelle Patterson*+,CHI,WR,16,35.6,35.6
Corey Clement,PHI,N/A,4,-4.0,-4.0
Corey Davis,TEN,WR,15,115.1,115.1
Courtland Sutton*,DEN,WR,16,222.4,222.4
Craig Reynolds,WAS,N/A,3,0.0,0.0
Cullen Gillaspia,HOU,N/A,16,0.0,0.0
Curtis Samuel,CAR,WR,16,171.7,171.7
Cyril Grayson,TAM,WR,2,1.3,1.3
