Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
A.J. Brown,PHI,WR,13,12,158,223.0,228.0,190.5,5,18
A.J. Green,ARI,WR,11,7,21,39.8,42.8,30.3,121,N/A
AJ Dillon ,GNB,RB,13,3,96,119.3,125.3,107.8,32,N/A
Aaron Jones,GNB,RB,13,13,154,201.5,208.5,177.5,11,25
Aaron Rodgers,GNB,QB,13,13,187,187.3,203.3,196.3,18,N/A
Adam Prentice,NOR,RB,7,1,N/A,1.4,1.4,0.9,145,N/A
Adam Thielen,MIN,WR,13,13,91,153.5,156.5,122.0,30,N/A
Adam Trautman,NOR,TE,11,9,23,39.3,42.3,31.3,45,N/A
Albert Okwuegbunam,DEN,TE,6,0,5,12.0,12.0,8.5,87,N/A
Alec Ingold,MIA,RB,13,11,22,36.4,36.4,29.4,80,N/A
Alec Pierce,IND,WR,12,9,63,95.0,98.0,79.0,52,N/A
Alex Armah,WAS,N/A,2,0,N/A,0.0,N/A,N/A,1,78
Alex Erickson,WAS,N/A,2,0,N/A,0.0,N/A,N/A,209,N/A
Alexander Mattison,MIN,RB,13,0,49,62.1,65.1,55.6,54,N/A
Allen Lazard ,GNB,WR,11,11,92,137.0,140.0,114.5,29,73
Allen Robinson,LAR,WR,10,10,52,84.9,87.9,68.4,68,N/A
Alvin Kamara,NOR,RB,11,10,108,159.3,169.3,133.8,26,N/A
Amari Cooper,CLE,WR,13,13,127,190.4,194.4,159.9,11,28
Amari Rodgers,2TM,WR,12,0,13,21.0,26.0,17.0,140,N/A
Ameer Abdullah,LVR,RB,13,0,24,44.0,47.0,34.0,78,N/A
Amon-Ra St. Brown,DET,WR,12,12,135,216.7,219.7,175.7,8,23
Andre Baccellia,ARI,WR,6,0,3,8.2,8.2,5.7,169,N/A
Andre Roberts,CAR,N/A,1,0,N/A,0.0,N/A,N/A,219,N/A
Andrew Beck,DEN,TE,9,4,6,8.8,8.8,7.3,84,N/A
Andy Dalton,NOR,QB,10,10,141,141.5,152.5,148.5,24,N/A
Andy Isabella,ARI,WR,3,0,2,4.1,4.1,3.1,178,N/A
Anthony Brown,BAL,QB,1,0,N/A,0.1,0.1,0.1,68,N/A
Anthony Firkser,ATL,TE,7,1,8,13.9,13.9,10.9,78,N/A
Anthony McFarland Jr.,PIT,RB,1,0,4,6.1,6.1,5.1,123,N/A
Anthony Schwartz,CLE,WR,11,1,15,18.8,19.8,16.8,135,N/A
Antonio Gibson ,WAS,RB,13,6,114,156.1,162.1,135.1,21,67
Antonio Williams,NYG,N/A,2,0,N/A,0.0,N/A,N/A,161,N/A
Armani Rogers,WAS,TE,10,3,9,13.8,13.8,11.3,74,N/A
