Player,PPR,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14
A.J. Brown,223.0,25.5,11.9,19.5,14.5,6.2,17.7,0.0,39.6,15.9,1.7,9.0,12.6,31.9,17.0
A.J. Green,39.8,3.3,6.6,0.0,0.0,5.0,2.7,0.0,0.0,0.0,9.0,10.0,1.5,0.0,1.7
AJ Dillon ,119.3,,0.0,5.8,9.4,3.4,9.2,1.5,7.3,6.4,6.5,3.3,17.8,20.9,0.0
Aaron Jones,201.5,10.6,32.0,5.7,14.5,10.0,7.4,28.6,19.7,6.5,23.6,14.0,18.9,10.0,0.0
Aaron Rodgers,187.3,3.7,16.4,16.1,16.1,16.9,11.8,15.8,15.2,13.6,19.4,19.1,9.5,13.7,0.0
Adam Prentice,1.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Adam Thielen,153.5,6.6,9.2,18.1,15.2,6.7,15.6,0.0,12.7,9.7,9.9,4.5,21.1,4.7,19.5
Adam Trautman,39.3,0.0,0.0,1.9,6.7,11.2,1.8,0.0,0.0,1.8,4.2,4.2,2.7,4.8,0.0
Albert Okwuegbunam,12.0,8.3,0.0,2.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,36.4,2.0,3.6,0.0,0.0,0.0,3.2,0.0,7.6,0.0,14.5,0.0,1.0,4.5,0.0
Alec Pierce,95.0,,0.0,9.1,12.0,16.1,13.9,6.7,9.5,3.3,0.0,5.8,0.0,18.6,0.0
Alex Armah,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Erickson,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
Alexander Mattison,62.1,3.6,4.4,11.4,8.8,7.0,0.3,0.0,10.0,1.1,2.9,1.8,1.1,9.8,-0.1
Allen Lazard ,137.0,,,14.5,17.6,13.5,17.6,11.5,0.0,18.7,7.5,10.7,4.4,11.7,0.0
Allen Robinson,84.9,2.2,15.3,4.3,2.7,4.2,17.3,0.0,10.4,5.4,8.4,14.7,0.0,0.0,0.0
Alvin Kamara,159.3,7.6,0.0,7.3,0.0,23.4,18.4,17.5,42.8,9.2,7.5,12.9,7.0,5.7,0.0
Amari Cooper,190.4,4.7,25.1,23.1,1.9,20.6,14.4,10.4,22.1,0.0,6.2,31.3,16.4,8.0,6.2
Amari Rodgers,21.0,0.0,0.0,0.0,0.0,0.0,2.4,1.4,3.2,0.0,-2.0,0.0,0.0,0.0,16.0
Ameer Abdullah,44.0,0.0,3.3,0.0,0.0,0.0,0.0,2.7,6.8,1.8,7.3,3.5,14.5,0.4,3.7
Amon-Ra St. Brown,216.7,20.4,39.4,13.3,0.0,5.8,0.0,1.4,13.9,9.5,22.1,15.0,27.9,34.6,13.4
Andre Baccellia,8.2,,,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
Andre Roberts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,8.8,7.2,-0.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Dalton,141.5,,,0.0,13.7,9.9,10.5,26.5,17.2,10.9,7.1,22.2,10.2,13.3,0.0
Andy Isabella,4.1,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Brown,0.1,,,,,,,,,,,,,0.0,0.1
Anthony Firkser,13.9,1.6,0.0,3.2,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.4,0.0
Anthony McFarland Jr.,6.1,,,,,,,,,,,0.0,6.1,0.0,0.0
Anthony Schwartz,18.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,11.8,0.8,0.0
Antonio Gibson ,156.1,20.0,12.1,11.0,9.3,6.9,8.3,16.7,20.7,6.7,14.8,13.3,8.4,7.9,0.0
Antonio Williams,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,13.8,3.3,0.0,0.0,0.0,0.0,0.0,5.8,2.3,2.4,0.0,0.0,0.0,0.0,0.0
Ashton Dulin,37.5,7.6,13.2,1.7,3.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0
Austin Ekeler,292.7,11.2,18.4,13.3,34.9,35.9,24.3,36.7,0.0,24.1,13.3,18.0,25.0,13.2,24.4
Austin Hooper,78.7,1.6,2.9,3.9,1.4,1.7,0.0,8.6,1.5,5.4,9.1,19.6,6.0,5.2,11.8
Austin Trammell,3.3,,,,,,,,,,,,0.0,1.8,1.5
Bailey Zappe,39.6,,,0.0,6.0,10.0,18.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,87.9,18.0,13.3,10.7,5.9,6.6,0.0,0.0,0.0,14.2,0.0,5.0,0.0,0.0,14.2
Ben Ellefson,5.6,1.2,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Skowronek,83.0,6.5,3.6,10.6,5.3,10.1,16.7,0.0,2.0,0.0,3.4,1.4,2.5,5.0,15.9
Benny Snell Jr.,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,4.5,0.4
Boston Scott,34.2,7.0,3.1,0.0,0.0,0.0,1.6,0.0,2.1,0.5,0.5,3.2,2.4,3.1,10.7
Brandin Cooks,102.7,15.2,9.4,4.2,18.7,6.0,0.0,8.6,11.3,0.0,8.2,10.0,11.1,0.0,0.0
Brandon Aiyuk,174.2,6.7,11.3,12.9,7.7,8.8,28.3,15.2,20.1,0.0,12.4,16.0,11.5,9.6,13.7
Brandon Allen,0.8,,,,,,,,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,24.1,10.8,0.0,4.1,0.9,6.4,0.0,0.0,0.0,0.5,0.0,1.4,0.0,0.0,0.0
Brandon Johnson,10.2,,,,,,,,,,0.0,1.2,9.0,0.0,0.0
Brandon Powell,36.8,2.3,-1.0,5.7,1.1,0.1,8.0,0.0,0.0,1.4,0.7,3.5,2.6,12.4,0.0
Brandon Zylstra,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,51.9,8.7,2.2,-0.2,5.7,8.4,9.6,7.2,0.0,1.6,0.0,0.0,2.3,2.9,3.5
Braylon Sanders,1.7,,,,,,,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Breece Hall,115.1,10.1,13.0,15.2,15.8,27.7,20.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,21.4,-0.7,13.5,5.4,0.0,0.0,0.0,0.0,2.1,1.1,0.0,0.0,0.0,0.0,0.0
Brett Rypien,10.5,,,,,,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.6
Brevin Jordan,17.8,1.5,2.3,0.0,0.0,0.0,0.0,0.0,3.9,1.5,0.0,0.0,0.0,8.6,0.0
Brian Hoyer,1.5,,,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Robinson Jr.,86.5,,,,0.0,2.2,12.0,10.6,2.0,5.8,14.6,5.7,20.5,13.1,0.0
Brock Purdy,36.9,,,,0.0,-0.1,0.0,0.7,0.0,0.0,0.0,0.3,0.0,14.3,21.7
Brock Wright,33.1,,,0.0,0.0,0.0,0.0,9.7,1.6,0.0,7.2,4.0,2.6,4.5,0.0
Bryan Edwards,4.5,0.0,1.2,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Perkins,15.6,,,,,,,,,0.0,0.3,6.4,8.4,0.5,0.0
Brycen Hopkins,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.2,0.0,1.8
Byron Pringle,16.7,3.2,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,9.2,0.0,0.0
C.J. Beathard,0.1,,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
C.J. Board,1.6,,,,,,,,,0.0,0.0,0.0,0.0,1.6,0.0
C.J. Ham,13.6,1.6,0.0,3.5,0.0,0.0,0.3,0.0,0.0,0.0,6.3,0.0,0.0,0.0,1.9
C.J. Uzomah,28.7,0.0,0.0,1.5,0.0,3.2,3.7,1.5,3.7,4.6,0.0,0.0,4.7,4.1,1.7
Cade Otton,81.7,,,0.0,5.9,10.3,4.3,10.4,3.5,17.8,6.5,0.0,0.0,14.8,6.8
Caleb Huntley,44.7,,,0.0,11.6,3.4,5.9,2.2,9.1,3.4,3.2,1.6,2.3,1.7,0.0
Cam Akers,63.5,0.0,8.2,10.1,1.3,3.3,0.0,0.0,0.0,0.3,2.2,6.1,3.7,19.0,9.3
Cam Sims,14.3,0.0,0.0,0.0,0.0,1.7,1.6,2.2,3.1,2.2,0.0,2.7,0.0,0.8,0.0
Cameron Brate,32.9,1.7,1.9,10.2,7.2,0.0,3.4,0.0,0.0,0.0,1.8,0.0,3.5,0.0,3.2
Carson Wentz,97.5,27.7,27.8,8.6,7.3,21.9,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case Keenum,0.3,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
