,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
0,Christian McCaffrey,SFO,RB,27,13,13,0,0,0,0,0,226,1177,5.21,12,63,52,437,8.40,5,3,2,17,N/A,N/A,259,311.4,319.4,285.4,129,1,1,2023
1,Tyreek Hill,MIA,WR,29,13,13,0,0,0,0,0,5,15,3.00,0,132,97,1542,15.90,12,1,1,12,N/A,N/A,226,322.7,326.7,274.2,119,1,2,2023
2,Raheem Mostert,MIA,RB,31,13,13,0,0,0,0,0,183,924,5.05,16,29,22,170,7.73,2,4,1,18,N/A,N/A,215,237.4,244.4,226.4,87,2,3,2023
3,CeeDee Lamb,DAL,WR,24,13,13,0,0,0,0,0,9,84,9.33,1,131,96,1253,13.05,8,2,1,9,1,N/A,188,283.7,287.7,235.7,84,2,4,2023
4,Josh Allen,BUF,QB,27,13,13,318,475,3447,25,14,72,374,5.19,10,0,0,0,N/A,0,4,3,10,N/A,3,307,307.3,330.3,321.3,83,1,5,2023
5,Jalen Hurts,PHI,QB,25,13,13,286,430,3192,19,10,126,460,3.65,12,0,0,0,N/A,0,8,5,12,N/A,N/A,292,291.7,312.7,301.7,68,2,6,2023
6,Keenan Allen,LAC,WR,31,13,13,1,2,49,1,0,2,6,3.00,0,150,108,1243,11.51,7,2,1,7,N/A,N/A,171,278.9,282.9,224.9,68,3,7,2023
7,A.J. Brown,PHI,WR,26,13,13,0,0,0,0,0,0,0,N/A,0,131,90,1258,13.98,7,1,1,7,N/A,N/A,166,255.8,259.8,210.8,63,4,8,2023
8,Mike Evans,TAM,WR,30,13,13,0,0,0,0,0,0,0,N/A,0,109,62,1020,16.45,10,0,0,10,N/A,N/A,162,224.0,227.0,193.0,59,5,9,2023
9,Travis Etienne,JAX,RB,24,13,13,0,0,0,0,0,219,806,3.68,9,56,44,383,8.70,1,0,0,10,2,N/A,183,226.9,232.9,204.9,57,3,10,2023
