Player,Consistency,Average,Median,Team,Position,Games Played,Value
A.J. Brown,0.4843,19.6769,19.05,PHI,WR,13,14.8866
A.J. McCarron,,,,CIN,QB,1,
A.T. Perry,,,,NOR,WR,6,
AJ Dillon,0.4127,8.2846,9.4,GNB,RB,13,6.360275
Aaron Jones,0.735,10.9143,1.2,GNB,RB,7,8.251975000000002
Aaron Rodgers,,0.0,0.0,NYJ,QB,1,
Adam Prentice,,,0.0,NOR,FB,9,
Adam Thielen,0.628,14.9462,13.8,CAR,WR,13,11.30265
Adam Trautman,1.0453,4.0,1.55,DEN,TE,13,2.988675
Aidan O'Connell,,,2.5,LVR,QB,7,
Albert Okwuegbunam,,,,PHI,TE,4,
Alec Ingold,1.2506,1.4538,0.35,MIA,FB,13,1.0276999999999998
Alec Pierce,0.788,5.7154,4.8,IND,WR,13,4.33955
Alex Armah,,,0.0,WAS,RB,4,
Alex Erickson,,,,LAC,WR,4,
Alexander Mattison,0.4641,9.5692,7.65,MIN,RB,13,7.310875
Allen Lazard,0.9051,4.5833,3.25,NYJ,WR,12,3.4612
Allen Robinson,0.8249,3.8077,2.6,PIT,WR,13,2.89955
Alvin Kamara,,,16.65,NOR,RB,10,
Amari Cooper,0.6048,11.8923,10.05,CLE,WR,13,9.018025000000002
Amari Rodgers,,,0.0,IND,WR,3,
Ameer Abdullah,0.7006,2.1077,1.9,LVR,RB,13,1.6556250000000001
Amon-Ra St. Brown,0.356,19.05,17.65,DET,WR,12,14.448500000000001
Andre Baccellia,,,0.0,ARI,WR,5,
Andrei Iosivas,,,0.0,CIN,WR,12,
Andrew Beck,1.2625,1.7333,0.1,HOU,FB,12,1.23435
Andrew Ogletree,1.2647,3.57,0.0,IND,TE,10,2.611325
Andy Dalton,1.4052,7.8667,0.0,CAR,QB,3,5.798724999999999
Andy Isabella,,,0.0,BUF,WR,2,
Anthony McFarland Jr.,1.4142,1.0333,0.0,PIT,RB,3,0.6714250000000002
Anthony Richardson,0.4981,18.175,0.0,IND,QB,4,13.756725000000001
Antoine Green,2.6458,0.15,0.0,DET,WR,8,-0.29895
Antonio Gibson,0.5231,8.0417,7.5,WAS,RB,12,6.150500000000001
Austin Ekeler,0.5271,15.01,8.2,LAC,RB,10,11.375725000000001
Austin Hooper,0.5499,2.4154,2.25,LVR,TE,13,1.924075
Austin Trammell,,,,LAR,WR,12,
Bailey Zappe,,,0.0,NWE,QB,6,
Baker Mayfield,0.3128,15.6,16.1,TAM,QB,13,11.871799999999999
Ben Sims,,,0.0,GNB,TE,13,
Ben Skowronek,1.8684,1.3308,0.0,LAR,WR,13,0.7809999999999999
Bijan Robinson,0.4755,14.5385,12.6,ATL,RB,13,11.035000000000002
Blaine Gabbert,,,0.0,KAN,QB,1,
Blake Bell,3.5925,0.6846,0.0,KAN,TE,13,-0.134675
Blake Whiteheart,,,,ARI,TE,1,
Bo Melton,,,,GNB,WR,1,
Boston Scott,0.8955,1.5455,0.85,PHI,RB,11,1.18525
Brady Russell,,,,SEA,TE,11,
Brandin Cooks,0.806,10.5583,6.2,DAL,WR,12,7.967224999999999
Brandon Aiyuk,0.4321,16.275,13.75,SFO,WR,12,12.348225
Brandon Bolden,,0.0,0.0,LVR,RB,13,
Brandon Johnson,1.4835,4.2444,0.0,DEN,WR,9,3.062425
Brandon Powell,0.9443,4.4308,3.55,MIN,WR,13,3.3370249999999997
Braxton Berrios,1.0945,4.15,3.05,MIA,WR,12,3.0888750000000003
Brayden Willis,,,,SFO,TE,3,
Breece Hall,0.5482,14.4615,11.2,NYJ,RB,13,10.959074999999999
Brenton Strange,,,0.0,JAX,TE,11,
Brett Rypien,,,0.0,LAR,QB,2,
Brevin Jordan,1.0729,3.39,0.0,HOU,TE,10,2.524275
Brian Hoyer,0.9775,1.6333,0.0,LVR,QB,3,1.2306
Brian Robinson Jr.,0.5371,13.5385,10.8,WAS,RB,13,10.2696
Britain Covey,,0.0,0.0,PHI,WR,13,
Brock Purdy,0.3287,19.2231,19.3,SFO,QB,13,14.585149999999999
Brock Wright,1.2764,2.1615,1.6,DET,TE,13,1.5520250000000002
Bryce Young,0.3737,9.9833,7.8,CAR,QB,12,7.64405
Brycen Hopkins,1.7808,0.5545,0.0,LAR,TE,11,0.220675
Byron Pringle,1.1503,2.0462,1.55,WAS,WR,13,1.4970749999999997
C.J. Beathard,,,0.0,JAX,QB,5,
C.J. Ham,1.4347,0.6615,0.0,MIN,FB,13,0.38744999999999996
C.J. Stroud,0.49,18.6538,15.75,HOU,QB,13,14.117849999999999
C.J. Uzomah,1.2637,1.65,0.0,NYJ,TE,12,1.1715749999999998
Cade Otton,0.7225,7.7231,8.6,TAM,TE,13,5.8617
Calvin Austin,1.2418,3.4769,1.65,PIT,WR,13,2.547225
Calvin Ridley,0.6877,12.6692,8.3,JAX,WR,13,9.579975
Cam Akers,0.3621,6.6714,1.25,2TM,RB,7,5.163025
Carson Wentz,,,,LAR,QB,1,
Cedric Tillman,,,0.0,CLE,WR,10,
Cedrick Wilson Jr.,,,1.3,MIA,WR,11,
CeeDee Lamb,0.47,21.8231,18.0,DAL,WR,13,16.499825
Charlie Jones,,,0.0,CIN,WR,7,
Charlie Kolar,3.1623,0.2091,0.0,BAL,TE,11,-0.38375000000000004
Charlie Woerner,2.3934,0.2462,0.0,SFO,TE,13,-0.16370000000000004
Chase Brown,1.6723,3.7375,0.0,CIN,RB,8,2.6350499999999997
Chase Claypool,1.8501,2.2,0.0,2TM,WR,8,1.437475
Chase Edmonds,0.8953,2.4333,0.95,TAM,RB,9,1.85115
Chigoziem Okonkwo,0.4812,5.8846,5.85,TEN,TE,13,4.54315
Chris Brooks,,,0.0,MIA,RB,6,
Chris Conley,,,0.0,SFO,WR,4,
Chris Evans,2.6458,0.2625,0.0,CIN,RB,8,-0.21457499999999996
Chris Godwin,0.3753,10.8615,10.0,TAM,WR,13,8.302299999999999
Chris Manhertz,2.3623,0.2769,0.0,DEN,TE,13,-0.13289999999999996
Chris Moore,0.7664,3.7923,3.55,TEN,WR,13,2.9026249999999996
Chris Olave,0.3564,14.4462,15.6,NOR,WR,13,10.99555
Chris Rodriguez,1.0551,1.3545,0.0,WAS,RB,11,1.0021
Christian Kirk,0.4577,12.525,13.4,JAX,WR,12,9.529325
Christian McCaffrey,0.3633,23.9538,22.4,SFO,RB,13,18.124525000000002
Christian Watson,,,5.2,GNB,WR,9,
Chuba Hubbard,0.5419,10.4462,8.7,CAR,RB,13,7.949175
Clayton Tune,,,0.0,ARI,QB,4,
Clyde Edwards-Helaire,1.0749,3.35,2.15,KAN,RB,12,2.4937750000000003
Cody Thompson,2.4495,0.2857,0.0,SEA,WR,7,-0.1481
Colby Parkinson,1.0507,3.0615,1.7,SEA,TE,13,2.28345
Cole Kmet,0.6899,11.2308,9.5,CHI,TE,13,8.500625
Cole Turner,1.0734,2.0909,0.6,WAS,TE,11,1.5498250000000002
Colton Dowell,,,,TEN,WR,7,
Connor Heyward,0.8795,2.8692,3.3,PIT,TE,13,2.1820250000000003
Cooper Kupp,,,5.45,LAR,WR,9,
Cooper Rush,1.407,0.35,0.0,DAL,QB,6,0.16074999999999995
Cordarrelle Patterson,,,1.0,ATL,RB,10,
Corey Clement,,,0.0,ARI,RB,3,
Courtland Sutton,0.3286,13.6077,13.9,DEN,WR,13,10.373624999999999
Craig Reynolds,1.6171,2.2769,0.0,DET,RB,13,1.5534000000000001
Curtis Samuel,0.5787,10.15,6.95,WAS,WR,12,7.717825
D'Andre Swift,0.5475,12.8462,12.45,PHI,RB,13,9.747775
D'Ernest Johnson,0.9778,2.6308,1.9,JAX,RB,13,1.9786499999999998
D'Onta Foreman,0.7792,11.475,4.5,CHI,RB,8,8.661449999999999
