Player,Consistency,Average,Median,Team,Position,Games Played
Adam Trautman,1.4142,2.8,0.0,DEN,TE,3
Alec Ingold,1.4142,1.8,0.0,MIA,RB,3
Alec Pierce,0.524,4.5333,4.8,IND,WR,3
Alex Armah,,,0.0,WAS,,1
Allen Lazard,0.1957,5.9333,6.6,NYJ,WR,3
Allen Robinson,0.4821,7.0,6.4,PIT,WR,3
Ameer Abdullah,0.8685,1.7,1.5,LVR,RB,3
Andrew Beck,1.3464,2.0667,0.2,HOU,RB,3
Andrew Ogletree,0.1765,2.55,2.1,IND,TE,2
Andy Dalton,1.0,11.75,0.0,CAR,QB,2
Antoine Green,1.0,0.6,0.0,DET,WR,2
Austin Hooper,0.7284,2.3333,3.0,LVR,TE,3
Baker Mayfield,0.2387,14.8,16.0,TAM,QB,3
Ben Skowronek,0.8666,1.4667,1.3,LAR,WR,3
Blaine Gabbert,,,-2.9,KAN,QB,1
Blake Bell,1.4142,3.0667,0.0,KAN,TE,3
Boston Scott,0.3333,3.0,2.0,PHI,RB,2
Brandon Bolden,,0.0,0.0,LVR,,3
Brandon Johnson,0.809,9.6333,5.1,DEN,WR,3
Brandon Powell,8.6023,-0.1667,0.0,MIN,WR,3
Braxton Berrios,0.1793,5.7667,5.3,MIA,WR,3
Brenton Strange,,,0.0,JAX,TE,3
Brevin Jordan,0.8136,4.6667,4.7,HOU,TE,3
Brian Hoyer,,0.0,0.0,LVR,,1
Britain Covey,,0.0,0.0,PHI,,3
Brock Purdy,0.1338,17.2667,16.8,SFO,QB,3
Brock Wright,1.4142,1.2333,0.0,DET,TE,3
Bryce Young,0.2891,10.55,7.5,CAR,QB,2
Brycen Hopkins,1.4142,1.0333,0.0,LAR,TE,3
Byron Pringle,1.4142,0.4667,0.0,WAS,WR,3
C.J. Beathard,,,0.0,JAX,QB,1
C.J. Ham,0.7599,1.4667,1.7,MIN,RB,3
C.J. Uzomah,1.4142,0.6333,0.0,NYJ,TE,3
Cade Otton,0.5914,5.5333,3.9,TAM,TE,3
Calvin Austin,0.6179,8.9,9.7,PIT,WR,3
Cam Akers,0.0,8.9,0.0,LAR,RB,1
Charlie Jones,,,0.0,CIN,WR,3
Charlie Kolar,,0.0,0.0,BAL,,2
Charlie Woerner,,0.0,0.0,SFO,,3
Chase Brown,1.0,0.1,0.0,CIN,RB,2
Chase Claypool,1.0822,5.0333,2.5,CHI,WR,3
Chase Edmonds,0.2,1.0,0.8,TAM,RB,2
Chigoziem Okonkwo,0.8202,3.7333,3.7,TEN,TE,3
Chris Brooks,,,0.0,MIA,RB,3
Chris Conley,,,0.0,SFO,,1
Chris Evans,0.0,2.1,0.0,CIN,RB,1
Chris Manhertz,,0.0,0.0,DEN,,3
Chris Moore,0.7074,4.0,5.9,TEN,WR,3
Chris Rodriguez,1.4142,0.2333,0.0,WAS,RB,3
Chuba Hubbard,0.4723,7.1,8.9,CAR,RB,3
Clyde Edwards-Helaire,0.6201,6.7667,3.9,KAN,RB,3
Cody Thompson,,0.0,0.0,SEA,,3
Colby Parkinson,0.4511,4.9,6.1,SEA,TE,3
Cole Turner,0.4228,4.7667,4.1,WAS,TE,3
Connor Heyward,1.4142,1.3,0.0,PIT,TE,3
Cooper Rush,,0.0,0.0,DAL,QB,1
Craig Reynolds,0.7071,1.0,1.5,DET,RB,3
Curtis Samuel,0.2487,8.2,7.4,WAS,WR,3
D'Ernest Johnson,0.8686,1.8333,2.7,JAX,RB,3
D'Onta Foreman,0.0,4.4,0.0,CHI,RB,1
DJ Chark,0.763,10.55,2.5,CAR,WR,2
Dalton Schultz,0.6367,3.9,2.4,HOU,TE,3
Damien Harris,0.6657,4.9,3.9,BUF,RB,3
Daniel Bellinger,0.7664,0.9667,1.1,NYG,TE,3
Dare Ogunbowale,0.0,0.4,0.0,HOU,RB,1
Darius Slayton,0.2929,6.6333,6.2,NYG,WR,3
Darnell Mooney,1.4142,5.1,0.0,CHI,WR,3
David Bell,1.4142,1.9,0.0,CLE,WR,3
David Njoku,0.174,5.7333,6.0,CLE,TE,3
